@relation 'Data_Clean_WEKA-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT2 >= 38719) and (ATT2 <= 39447)-weka.filters.unsupervised.attribute.Remove-Rfirst-7,15-21'

@attribute AvgOddsDiff numeric
@attribute P1_Seed {'not seeded',2,8,5,6,7,1,3,4,9,13,11,12,14,10,15,16,29,32,26,21,22,27,18,30,31,17,25,19,23,28,20,24,33}
@attribute P1_Entry {WC,regular,Q,LL,PR,SE,Alt}
@attribute SameHand {TRUE,FALSE}
@attribute HeightDiff numeric
@attribute SameCountry {FALSE,TRUE}
@attribute AgeDiff numeric
@attribute PtsDiffNorm numeric
@attribute P2_Result {W,L}

@data
0.7384,'not seeded',regular,TRUE,-2,FALSE,-6.554415,-0.062964,L
0.881,'not seeded',regular,TRUE,5,FALSE,-1.13347,-0.022577,W
4.6744,'not seeded',regular,TRUE,-15,FALSE,-4.577687,-0.119421,W
-19.8822,1,regular,TRUE,-5,FALSE,2.157426,0.36089,L
2.9362,'not seeded',WC,TRUE,15,FALSE,1.385352,-0.062047,L
-5.576,12,regular,FALSE,-20,FALSE,-6.847365,0.052638,L
-3.2384,15,regular,TRUE,3,FALSE,4.358658,0.055999,L
-5.3112,21,regular,TRUE,3,FALSE,5.330595,0.026793,L
-2.698,23,regular,TRUE,0,FALSE,-5.251198,0.032597,L
-4.9612,25,regular,TRUE,-10,FALSE,5.83436,0.020071,L
-0.38,30,regular,TRUE,8,FALSE,-4.862423,-0.00999,L
6.0362,'not seeded',regular,TRUE,-10,FALSE,1.661875,-0.032536,W
1.5064,'not seeded',Q,TRUE,-7,FALSE,-1.275838,-0.049094,W
-5.6734,5,regular,TRUE,-2,FALSE,-2.852841,0.101702,L
1.5572,'not seeded',regular,TRUE,10,FALSE,1.489391,-0.116671,L
-0.8436,'not seeded',regular,TRUE,5,FALSE,-0.947296,-0.01445,L
-0.3512,28,regular,FALSE,-5,FALSE,-1.399042,0.010357,W
-1.9724,10,regular,TRUE,-3,FALSE,9.763176,0.061436,L
-1.2324,18,regular,TRUE,21,FALSE,-1.993155,-0.031742,W
-1.7948,20,regular,TRUE,5,FALSE,2.340862,-0.022882,W
9.5462,'not seeded',Q,TRUE,-3,FALSE,0.692676,-0.189686,W
-1.1972,4,regular,FALSE,-5,FALSE,-0.443532,0.052882,L
-2.198,'not seeded',regular,FALSE,0,FALSE,-3.835729,0.011701,L
-0.915,8,regular,TRUE,-3,FALSE,-5.998631,0.073046,W
-2.202,7,regular,FALSE,5,FALSE,2.507871,0.061436,L
-15.6682,1,regular,TRUE,-11,FALSE,-4.090349,0.339749,L
-0.223,15,regular,TRUE,0,FALSE,-2.606434,0.000642,W
0.7432,6,regular,TRUE,0,FALSE,-3.627652,0.050133,W
-5.4392,'not seeded',regular,TRUE,5,FALSE,1.409993,0.015061,L
0.3594,'not seeded',regular,TRUE,-5,FALSE,1.327858,-0.030275,W
-1.1926,'not seeded',regular,TRUE,-3,FALSE,2.811773,-0.003697,L
-1.504,4,regular,TRUE,0,FALSE,0.328542,0.036996,L
4.3302,'not seeded',regular,TRUE,-5,FALSE,-2.798084,-0.163474,L
-1.6968,11,regular,TRUE,-3,FALSE,-9.311431,0.047689,W
1.0592,10,regular,TRUE,-13,FALSE,3.986311,-0.049461,W
-7.9334,1,regular,TRUE,-3,FALSE,-3.348392,0.34372,L
0.6848,'not seeded',regular,TRUE,7,FALSE,-2.151951,-0.048544,W
-1.0748,25,regular,TRUE,-10,TRUE,3.624914,0.005652,L
-1.2178,5,regular,TRUE,-5,FALSE,-3.408624,0.033025,L
-3.7208,4,regular,TRUE,2,FALSE,-9.062286,0.092598,L
1.65,'not seeded',regular,TRUE,-10,FALSE,-6.247775,-0.108178,L
12.965,5,regular,TRUE,-7,FALSE,0.183436,-0.283781,W
0.1848,25,regular,TRUE,-8,FALSE,-0.898015,-0.025021,W
1.5932,'not seeded',regular,TRUE,3,FALSE,-3.457906,-0.119787,L
-8.6214,1,regular,TRUE,2,FALSE,-4.093087,0.319891,L
5.4332,'not seeded',regular,TRUE,-2,FALSE,-3.857632,-0.38588,W
-0.4014,'not seeded',regular,TRUE,10,FALSE,-14.855578,-0.023371,L
-3.978,6,regular,FALSE,-3,FALSE,-0.024641,0.033758,L
1.1564,'not seeded',regular,TRUE,-12,FALSE,-3.279945,-0.030031,W
-0.797,'not seeded',regular,TRUE,10,FALSE,-3.33744,-0.018544,W
-0.314,'not seeded',regular,TRUE,5,FALSE,-7.290897,-0.023982,L
-0.512,'not seeded',regular,TRUE,0,TRUE,-7.622177,-0.016344,W
0.6748,'not seeded',regular,TRUE,2,FALSE,5.670089,-0.019522,L
